query_date,doc_name,doc_type,operation,page_number,prompt_tokens,completion_tokens,total_tokens,model_id
2025-07-07 20:39),MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,1,1303,870,2173,likely gpt-4.1-mini
2025-07-07 20:39),MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,2,1303,816,2119,likely gpt-4.1-mini
2025-07-07 20:39),MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,3,1303,924,2227,likely gpt-4.1-mini
7/9/2025 21:03,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,1,1303,886,2189,likely gpt-4.1-mini
7/9/2025 21:03,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,2,1303,808,2111,likely gpt-4.1-mini
7/9/2025 21:03,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,3,1303,920,2223,likely gpt-4.1-mini
7/10/2025 21:03,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,1,1303,850,2153,likely gpt-4.1-mini
7/10/2025 21:03,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,2,1303,806,2109,likely gpt-4.1-mini
7/10/2025 21:03,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,3,1303,921,2224,likely gpt-4.1-mini
7/10/2025 21:03,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,4,1303,556,1859,likely gpt-4.1-mini
7/10/2025 21:03,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,5,1303,997,2300,likely gpt-4.1-mini
7/10/2025 21:03,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,6,1303,440,1743,likely gpt-4.1-mini
7/11/2025 19:40,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,1,1303,873,2176,likely gpt-4.1-mini
7/11/2025 19:40,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,2,1303,806,2109,likely gpt-4.1-mini
7/11/2025 19:40,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,3,1303,919,2222,likely gpt-4.1-mini
7/11/2025 19:40,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,4,1303,550,1853,likely gpt-4.1-mini
7/11/2025 19:40,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,5,1303,997,2300,likely gpt-4.1-mini
7/11/2025 19:40,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,6,1303,438,1741,likely gpt-4.1-mini
